Ticker,Final_Score,Attractiveness,combined_score,Sentiment_Score,Sentiment_Label,Threads,last_close,rsi_value,mfi_value,macd_histogram
CBF,43.75,✅ BUY,37.5,50.0,📈 BULLISH,2.0,195.4,23.12665146371741,27.668601055492957,-2.2453441992770147
11B,25.0,✅ BUY,50.0,0.0,➡️ NEUTR,0.0,134.0,22.15546597552496,16.34809087435947,-0.9948488714899316
DNP,25.0,✅ BUY,50.0,0.0,➡️ NEUTR,0.0,39.19,52.16426922776014,30.17196688688304,0.0373411342522569
PLW,25.0,✅ BUY,50.0,0.0,➡️ NEUTR,0.0,254.0,19.518149339594316,15.71407397084161,-3.3239290871075995
TXT,18.75,⏸ HOLD,37.5,0.0,➡️ NEUTR,0.0,39.16,26.450876141161757,36.554022267554046,-0.2890712359617182
GPP,18.75,⏸ HOLD,37.5,0.0,➡️ NEUTR,0.0,43.75,15.26142285194571,1.9216035217675795,-0.5389008283123122
ALE,18.75,⏸ HOLD,37.5,0.0,➡️ NEUTR,0.0,28.685,26.947912646872386,18.7340489259488,-0.1580764233640622
CDR,12.5,⏸ HOLD,25.0,0.0,➡️ NEUTR,0.0,240.0,28.79372490214371,33.68048881627814,-3.8295019898332665
ACP,12.5,⏸ HOLD,25.0,0.0,➡️ NEUTR,0.0,189.5,20.44161407971237,35.858343066148464,-3.960823363760438
PEP,12.5,⏸ HOLD,25.0,0.0,➡️ NEUTR,0.0,53.0,27.33068115028135,35.77071554459954,-0.1467198728733998
ASE,12.5,⏸ HOLD,25.0,0.0,➡️ NEUTR,0.0,66.2,27.301695493578062,43.327643451236256,-0.9842096187594144
VRC,10.399999999999999,⏸ HOLD,-12.5,33.3,📈 BULLISH,3.0,135.0,41.9681771205979,46.2985221328801,-0.3801527459069143
WPL,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,4.0,58.5,31.85234271203754,30.277614631249634,-0.7549589485441621
EAT,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,13.4,38.000731626062134,21.485361224366272,-0.0209756125894934
VRG,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,5.1,52.14763670080546,45.515333096744946,0.0132357658764116
MBK,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,1064.0,58.83291018732521,54.41789409950571,5.5044022896562295
GPW,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,2.0,71.5,56.6532862500725,45.44790174829512,0.0041594727034979
NEU,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,774.0,32.16888065578675,38.22919843214473,-2.9153150581604477
EUR,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,6.365,32.479672054904555,25.106869826763244,-0.0570042822126416
CCC,6.25,⏸ HOLD,12.5,0.0,N/A,0.0,117.45,41.2073913184189,17.7385820907992,-1.8667828797313304
LBW,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,8.5,52.702306430785555,53.33147024463499,0.0094832194872379
MRB,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,13.01,37.790729046919985,23.71273594818227,-0.0809912746059414
HUG,6.25,⏸ HOLD,12.5,0.0,➡️ NEUTR,0.0,24.25,50.672150015392525,59.27220261559422,0.0077942805307995
DIA,6.25,⏸ HOLD,25.0,-12.5,📉 BEARISH,8.0,180.65,26.999999397479456,33.33930010102249,-2.4192125809724256
ZAB,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,21.6,38.70236927454454,52.24598581024867,-0.0075222368717235
CAR,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,603.0,38.216845071192466,54.45805897796611,-2.850468863648082
DOM,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,1.0,270.0,60.796549490785225,45.32345386287076,0.0491380329187869
ATT,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,17.32,40.434058758069995,30.318063525271384,-0.1078530470548619
ENA,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,1.0,22.06,61.79877216692044,58.10763601405193,0.0988906472079331
PCO,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,27.69,25.30164836628704,60.744747010641014,-0.2891061740780635
RBW,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,157.5,62.95027636547047,58.14366064542311,0.1032486047795471
PGE,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,9.852,59.481735702322496,78.19880547953454,0.0696809116681329
MBR,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,1.0,362.0,50.040823109743414,28.795931941123555,-3.015663579403615
SPL,0.0,⏸ HOLD,0.0,0.0,N/A,0.0,580.0,56.458958379631355,71.06664207674059,1.9578640130606324
VOX,0.0,⏸ HOLD,0.0,0.0,➡️ NEUTR,0.0,137.2,48.18754505721793,30.29684956150699,-0.3395519237147473
PKN,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,110.74,67.29126159196701,65.43786299553419,0.5611977163418951
GRX,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,2.43,48.503874237092994,59.64444089795726,-0.0296574865173759
NWG,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,123.0,61.41340591789553,69.15157677175263,0.3580908796273938
CPS,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,12.955,45.12497011617242,47.732315058520264,-0.0957438355330898
KGH,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,311.0,43.494225323840745,48.374822772973886,-5.807436410044431
ABE,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,127.2,67.03749696547555,70.66505623767085,0.2026041058218539
MIL,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,17.78,60.090815187250946,64.50526808924008,0.0643447337228765
PKO,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,5.0,93.16,56.390007818966026,81.18799485544014,0.0862017989841956
BFT,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,3800.0,47.58746979675417,41.56854263147211,-15.159042115287988
APR,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,17.5,43.17050560359187,50.739575302262814,-0.1658769632803948
BHW,-6.25,⏸ HOLD,-12.5,0.0,➡️ NEUTR,0.0,117.6,66.09961790540528,62.52442248878372,0.3849207609223355
JSW,-9.25,⏸ HOLD,-12.5,-6.0,😐 -NEGAT,33.0,25.62,44.058364777770315,56.35573294830593,-0.3362922153706613
ALR,-12.5,⏸ HOLD,-25.0,0.0,➡️ NEUTR,0.0,123.45,67.53601291826925,84.68533488941495,0.9577284388570808
TPE,-12.5,⏸ HOLD,-25.0,0.0,➡️ NEUTR,0.0,11.29,73.59280244826057,78.83562440670666,0.1167195687143016
BNP,-12.5,⏸ HOLD,-25.0,0.0,➡️ NEUTR,0.0,149.5,69.3555634879334,89.51115462285895,0.1563965904093098
XTB,-12.5,⏸ HOLD,-25.0,0.0,➡️ NEUTR,0.0,86.26,74.12238686345225,64.79329707077852,0.9234089743516788
TEN,-12.5,⏸ HOLD,-25.0,0.0,➡️ NEUTR,0.0,105.6,43.851617969460094,63.96845733062523,-0.92447806591467
OPL,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,11.735,79.55838843090464,92.18316326389574,0.0224951442289911
SNT,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,299.0,58.27131348730211,56.61003539479259,-0.3914405903119586
ING,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,413.0,87.22382176290292,87.00285817412562,3.60563524243633
ASB,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,37.3,53.954936290077,58.90435740192267,-0.1525987658763776
KRU,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,487.8,55.603909173260085,46.298727571883205,-0.1382771012288622
DVL,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,9.77,72.6207100179655,80.20057860396547,0.0274582033367062
BDX,-18.75,⏸ HOLD,-37.5,0.0,➡️ NEUTR,0.0,697.8,54.76814469968052,58.846211794227465,-0.2593563506816849
PEO,-22.9,❌ SELL,-12.5,-33.3,📉 BEARISH,3.0,230.2,67.89907736344522,70.6973200999103,1.65053957777378
LPP,-25.0,❌ SELL,-50.0,0.0,➡️ NEUTR,0.0,20590.0,62.96004202927667,57.78857249996269,-17.44563901036372
KTY,-31.25,❌ SELL,-62.5,0.0,➡️ NEUTR,1.0,1039.0,64.50722503167151,61.30574894050763,-0.1863543840935477
PZU,-31.25,❌ SELL,-62.5,0.0,➡️ NEUTR,0.0,71.42,61.61333577961755,60.09266530728207,-0.0112115713956202
